name,polarity,factual,domain
Tatum Report,Right,Mixed, https://tatumreport.com/
Tea Party News (the Point),Right,Mixed, http://www.westernjournalism.com/thepoint/
Tea Party Tribune,Right,High, http://www.teapartytribune.com/
Tenth Amendment Center,Right,Mixed, https://tenthamendmentcenter.com
The Advertiser,Right,Mixed, http://www.adelaidenow.com.au/
The American Cause,Right,Mixed, http://www.theamericancause.org/
The American Mind,Right,Mixed, https://americanmind.org
The California Republican,Right,Mixed, http://carepublican.com
The Citizen Press,Right,Mixed, https://thecitizenpress.com
The College Fix,Right,Mixed, https://www.thecollegefix.com/
The Conservative Nut,Right,Mixed, https://www.theconservativenut.gop
The Conservative Opinion,Right,Mixed,
The Conservative Woman,Right,Mixed, https://www.conservativewoman.co.uk
The Daily Defender,Right,Mixed, http://thedailydefender.com/
The Daily Telegraph (AUS),Right,Mixed, https://www.dailytelegraph.com.au/
The DC Chronicle,Right,Mixed, https://dc-chronicle.com
The First TV,Right,Mixed, https://www.thefirsttv.com/
The Hayride,Right,Mixed, https://thehayride.com/
The Liberty Loft,Right,Mixed, https://thelibertyloft.com/
The Millennial Review,Right,High, https://themilreview.com/
The National Herald,Right,Mixed, www.thenationalherald.com
The New American,Right,Mixed, https://www.thenewamerican.com/
The New Revere,Right,Mixed, https://thenewrevere.com
The Newly Press,Right,Mixed, http://newlypress.com
The Ohio Star,Right,Mixed, http://theohiostar.com/
The Patriot Post,Right,Mixed, https://patriotpost.us/
The Post & Email,Right,Mixed, https://www.thepostemail.com
The Post Millennial,Right,Mixed, https://www.thepostmillennial.com
The RANTidote,Right,Mixed, http://therantidote.com/
The Real Strategy,Right,Mixed, https://therealstrategy.com/
The Resurgent,Right,Mixed, http://theresurgent.com/
The Ron Paul Institute,Right,Mixed, http://www.ronpaulinstitute.org/
The Star (Malaysia),Right,Mixed, https://www.thestar.com
The Sun,Right,Mixed, https://www.thesun.co.uk/
The Tennessee Star,Right,Mixed, http://tennesseestar.com/
The Texan,Right,Mostly Factual, https://thetexan.news/
The Truth About Guns,Right,High, http://www.thetruthaboutguns.com/
TheGreggJarrett.com,Right,Mixed, https://thegreggjarrett.com/
Thejeffreylord.com,Right,Mostly Factual, https://thejeffreylord.com/
Toronto Sun,Right,Mostly Factual, https://torontosun.com
Trending Views,Right,Mixed, trendingviews.co
Tribunist,Right,Mostly Factual, https://tribunist.com
TRT World,Right,Mixed, https://www.trtworld.com
Twitchy,Right,Mixed, https://twitchy.com
UN Watch,Right,Mixed, https://www.unwatch.org
Unbiased America,Right,Mixed,
Unity News Network,Right,High, https://unitynewsnetwork.co.uk
Update America,Right,Mixed, https://www.updateamerica.com/
US Politics Info,Right,Mixed, https://uspoliticsinfo.com/
USA Politics Today,Right,Mixed, http://www.usapoliticstoday.com/
Vessel News,Right,Mixed, http://vesselnews.io/
Viva Liberty,Right,Mixed, http://www.vivaliberty.com/
Washington Examiner,Right,Mixed, https://www.washingtonexaminer.com/
Washington Free Beacon,Right,Mixed, https://freebeacon.com/
Weasel Zippers,Right,Mixed, http://www.weaselzippers.us/
Weekly Standard,Right,High, http://www.weeklystandard.com/
Western Free Press,Right,Mixed, http://www.westernfreepress.com/ 
WestMonster,Right,Mixed, http://www.westmonster.com/
Whatfinger,Right,Mixed, http://www.whatfinger.com/
World Magazine,Right,Mixed, https://wng.org/
Yellow Hammer News,Right,High, https://yellowhammernews.com/
Young Americas Foundation (YAF),Right,High, https://www.yaf.org
Young Conservatives,Right,Mixed, https://www.chicksonright.com/youngconservatives/
