name,polarity,factual,domain
Environmental Working Group (EWG),Conspiracy-Pseudoscience,Mixed, https://www.ewg.org/
Escape all these Things,Conspiracy-Pseudoscience,Low, https://escapeallthesethings.com/
Eugenics.News,Conspiracy-Pseudoscience,Very Low, https://eugenics.news/
Every News Here,Conspiracy-Pseudoscience,Low, http://www.everynewshere.com/
Evidence for God from Science,Conspiracy-Pseudoscience,Low, http://www.godandscience.org
Evolution News and Science Today,Conspiracy-Pseudoscience,Low, https://evolutionnews.org/
Extraordinary News,Conspiracy-Pseudoscience,Mixed, http://www.extraordinaryinfo.com
Fabiosa,Conspiracy-Pseudoscience,Mixed, https://fabiosa.com/
FaithIt,Conspiracy-Pseudoscience,Mixed, https://faithit.com/
FaithPanda,Conspiracy-Pseudoscience,Mixed, http://www.faithpanda.com
Fellowship of the Minds,Conspiracy-Pseudoscience,Low, https://fellowshipoftheminds.com
Firefighters for 9/11 Unity and Truth,Conspiracy-Pseudoscience,Mixed, https://www.ff911truthandunity.org/
Food Babe,Conspiracy-Pseudoscience,Mixed, https://foodbabe.com/
Food Matters,Conspiracy-Pseudoscience,Mixed, https://www.foodmatters.com
Food.News,Conspiracy-Pseudoscience,Very Low, https://food.news/
Forever Conscious,Conspiracy-Pseudoscience,Low, https://foreverconscious.com
Free Thought Project,Conspiracy-Pseudoscience,Low, https://thefreethoughtproject.com/
Freedom Advocates,Conspiracy-Pseudoscience,Low, https://www.freedomadvocates.org
Freedom.News,Conspiracy-Pseudoscience,Very Low, https://freedom.news/
Freedomain Radio,Conspiracy-Pseudoscience,Low, https://freedomainradio.com/
Friends of Science,Conspiracy-Pseudoscience,Mixed, https://friendsofscience.org/
From the Trenches World Report,Conspiracy-Pseudoscience,Low, https://fromthetrenchesworldreport.com/
Gaia,Conspiracy-Pseudoscience,Low, https://www.gaia.com/
GeoEngineering Watch,Conspiracy-Pseudoscience,Low, http://www.geoengineeringwatch.org/
Geoengineering.News,Conspiracy-Pseudoscience,Very Low, https://geoengineering.news/
Get Holistic Health,Conspiracy-Pseudoscience,Low, https://www.getholistichealth.com/
GetCancerRemedies.com,Conspiracy-Pseudoscience,Low, https://getcancerremedies.com
Glitch.News,Conspiracy-Pseudoscience,Very Low, https://glitch.news/
Global Healing Center,Conspiracy-Pseudoscience,Mixed, https://www.globalhealingcenter.com
Global Research,Conspiracy-Pseudoscience,Low, https://www.globalresearch.ca/
Global Skywatch,Conspiracy-Pseudoscience,Low, http://www.globalskywatch.com/
GMO Watch,Conspiracy-Pseudoscience,Mixed, https://gmowatch.com
GMO.News,Conspiracy-Pseudoscience,Very Low, http://gmo.news/
GMWatch,Conspiracy-Pseudoscience,Mixed, https://gmwatch.org/
Godlike Productions,Conspiracy-Pseudoscience,Low, https://www.godlikeproductions.com/
Goop.com,Conspiracy-Pseudoscience,Low, https://goop.com/
Got Questions,Conspiracy-Pseudoscience,Low, https://www.gotquestions.org/
Government Slaves,Conspiracy-Pseudoscience,Low, https://govtslaves.com
GreatReject,Conspiracy-Pseudoscience,Very Low, https://greatreject.org/.”
GreenMedInfo,Conspiracy-Pseudoscience,Low, https://www.greenmedinfo.com/
Greenpeace,Conspiracy-Pseudoscience,Mixed, https://www.greenpeace.org/
Gulag Bound,Conspiracy-Pseudoscience,Low, http://gulagbound.com/
HAARP.net,Conspiracy-Pseudoscience,Low, http://www.haarp.net/
Healing Food Reference,Conspiracy-Pseudoscience,Very Low, http://healingfoodreference.com/
Healing Oracle,Conspiracy-Pseudoscience,Very Low, https://healingoracle.ch/
Health and Money News,Conspiracy-Pseudoscience,Very Low, https://healthandmoneynews.wordpress.com/
Health Consciousness,Conspiracy-Pseudoscience,Low, http://www.thehealthconsciousness.com
Health Eternally,Conspiracy-Pseudoscience,Mixed, http://healtheternally.com/
Health Impact News,Conspiracy-Pseudoscience,Low, https://healthimpactnews.com/
Health Nut News,Conspiracy-Pseudoscience,Very Low, https://www.healthnutnews.com
Health Ranger Report,Conspiracy-Pseudoscience,Very Low, https://healthrangerreport.com/
Health Sciences Institute,Conspiracy-Pseudoscience,Low, https://hsionline.com/
Health.News,Conspiracy-Pseudoscience,Very Low, https://health.news/
Healthy and Natural World,Conspiracy-Pseudoscience,Mixed, https://www.healthyandnaturalworld.com/
Healthy Food House,Conspiracy-Pseudoscience,Low, https://www.healthyfoodhouse.com/
Healthy Holistic Living,Conspiracy-Pseudoscience,Low, https://www.healthy-holistic-living.com
Healthy Vibes,Conspiracy-Pseudoscience,Low, https://healthy-vibes.com
Hello Christian,Conspiracy-Pseudoscience,Mixed, https://hellochristian.com/
Henry Makow (savethemales.ca),Conspiracy-Pseudoscience,Low, https://www.savethemales.ca/
Herb,Conspiracy-Pseudoscience,Mixed,
Herbreference.com,Conspiracy-Pseudoscience,Very Low, http://herbreference.com/
Higgins News Network,Conspiracy-Pseudoscience,Mixed, http://alexanderhiggins.com/
Higher Perspective,Conspiracy-Pseudoscience,Mixed, https://www.higherperspectives.com/
HL12,Conspiracy-Pseudoscience,Low, https://breakthrough.holylandnutrition.com/
Homeopathy Journal,Conspiracy-Pseudoscience,Mixed,
Humans are Free,Conspiracy-Pseudoscience,Low, http://humansarefree.com/
I Heart Intelligence,Conspiracy-Pseudoscience,Mixed, https://iheartintelligence.com/
I Love Native Americans,Conspiracy-Pseudoscience,Mixed, http://ilovenativeamericans.us/
Ice Age Now,Conspiracy-Pseudoscience,Low, https://www.iceagenow.info
iHealthtube.com,Conspiracy-Pseudoscience,Low, https://www.ihealthtube.com
Illuminati News,Conspiracy-Pseudoscience,Low, http://www.illuminati-news.com/
Illuminati Watcher,Conspiracy-Pseudoscience,Low, https://illuminatiwatcher.com/
Independent Living News,Conspiracy-Pseudoscience,Mixed, https://independentlivingnews.com/
Independent Science News,Conspiracy-Pseudoscience,Mixed, https://www.independentsciencenews.org
Infinite Unknown,Conspiracy-Pseudoscience,Low, https://www.infiniteunknown.net/
Information Clearing House,Conspiracy-Pseudoscience,Mixed, http://www.informationclearinghouse.info/
Infowars,Conspiracy-Pseudoscience,Very Low, http://www.infowars.com/
Ingredients.News,Conspiracy-Pseudoscience,Very Low, https://ingredients.news/
Institute for Creation Research,Conspiracy-Pseudoscience,Very Low, https://www.icr.org
Institute for Responsible Technology,Conspiracy-Pseudoscience,Mixed, https://responsibletechnology.org/
Intellihub,Conspiracy-Pseudoscience,Low, https://www.intellihub.com/
Investment Watch Blog,Conspiracy-Pseudoscience,Mixed, https://www.investmentwatchblog.com/
Iowa Climate Science Education,Conspiracy-Pseudoscience,Low, https://iowaclimate.org
"Israel, Islam and End Times",Conspiracy-Pseudoscience,Mixed, http://www.israelislamandendtimes.com/
JeffereyJaxen.com,Conspiracy-Pseudoscience,Mixed, https://www.jeffereyjaxen.com/news
Jesus Daily,Conspiracy-Pseudoscience,Low, https://www.jesusdaily.com
Jesus is Savior,Conspiracy-Pseudoscience,Low, http://www.jesus-is-savior.com/
Jews News,Conspiracy-Pseudoscience,Low, http://www.jewsnews.co.il/
JoeBiden.News,Conspiracy-Pseudoscience,Very Low, https://joebiden.news/
Jones Report,Conspiracy-Pseudoscience,Very Low, http://jonesreport.com/
JunkScience.com,Conspiracy-Pseudoscience,Low, https://junkscience.com
Knowledge of Today,Conspiracy-Pseudoscience,Low, http://www.knowledgeoftoday.org/
LaRouche PAC,Conspiracy-Pseudoscience,Low, https://larouchepac.com/
LearnTheRisk.org,Conspiracy-Pseudoscience,Very Low, https://www.learntherisk.org
LeftCult,Conspiracy-Pseudoscience,Very Low, https://leftcult.com/
Liberty Videos,Conspiracy-Pseudoscience,Low, http://libertyvideos.org/
Liberty.News,Conspiracy-Pseudoscience,Very Low, https://liberty.news
Libtards.News,Conspiracy-Pseudoscience,Very Low, https://libtards.news/
LifeSpa,Conspiracy-Pseudoscience,Low, https://lifespa.com/
LittleThings,Conspiracy-Pseudoscience,Mixed, https://littlethings.com/
Live Action,Conspiracy-Pseudoscience,Mixed, https://liveaction.org/
Livestrong.com,Conspiracy-Pseudoscience,Mixed, https://www.livestrong.com
Living Resistance,Conspiracy-Pseudoscience,Mixed, http://livingresistance.com/
Living Whole,Conspiracy-Pseudoscience,Mixed, https://www.livingwhole.org/
Media Fact Watch,Conspiracy-Pseudoscience,Very Low, https://mediafactwatch.com/
Media Roots,Conspiracy-Pseudoscience,Mixed, http://mediaroots.org
Medical Medium,Conspiracy-Pseudoscience,Low, https://www.medicalmedium.com/
Medicine News,Conspiracy-Pseudoscience,Low, http://www.medicine.news/
Medusa Magazine,Conspiracy-Pseudoscience,Mixed, https://medusamagazine.com/
Mercola,Conspiracy-Pseudoscience,Low, https://www.mercola.com/
MindBodyGreen,Conspiracy-Pseudoscience,Mixed, https://www.mindbodygreen.com
Modern Alternative Mama,Conspiracy-Pseudoscience,Mixed, https://modernalternativemama.com/
Morning Ledger,Conspiracy-Pseudoscience,Low, http://www.morningledger.com/
Murica Today,Conspiracy-Pseudoscience,Mixed, http://muricatoday.com/
National File,Conspiracy-Pseudoscience,Low, https://nationalfile.com/
National Vaccine Information Center,Conspiracy-Pseudoscience,Low, https://www.nvic.org
NationalSecurity.News,Conspiracy-Pseudoscience,Very Low, https://nationalsecurity.news/
Natural Awakenings Magazine,Conspiracy-Pseudoscience,Mixed, https://www.naturalawakeningsmag.com/
Natural Cures Not Medicine,Conspiracy-Pseudoscience,Low, http://naturalcuresnotmedicine.info/
Natural Health 365,Conspiracy-Pseudoscience,Mixed, https://www.naturalhealth365.com/
Natural Medicine Team,Conspiracy-Pseudoscience,Mixed, http://naturalmedicineteam.com/
Natural News,Conspiracy-Pseudoscience,Very Low, https://www.naturalnews.com/
Natural News Radio,Conspiracy-Pseudoscience,Very Low, https://naturalnewsradio.com/
Natural Society,Conspiracy-Pseudoscience,Mixed, https://naturalsociety.com
NaturalCures.com,Conspiracy-Pseudoscience,Mixed, https://naturalcures.com/
Naturally Savvy,Conspiracy-Pseudoscience,Mixed,  http://naturallysavvy.com
NaturalMedicine.News,Conspiracy-Pseudoscience,Very Low, https://naturalmedicine.news/
NaturalNewsBlogs,Conspiracy-Pseudoscience,Very Low, https://naturalnewsblogs.com/
NaturalPedia.com,Conspiracy-Pseudoscience,Very Low, https://naturalpedia.com/
Need to Know,Conspiracy-Pseudoscience,Low, https://needtoknow.news
Neon Nettle,Conspiracy-Pseudoscience,Low, https://neonnettle.com/
New American News,Conspiracy-Pseudoscience,Low, http://newamericannews.com/
